file,e2n_e,e2n_n,n2e_n,n2e_e
graphics/java/android/graphics/BLASTBufferQueue.java,1,2,1,2
core/java/android/util/DisplayUtils.java,1,,,
core/java/android/util/NtpTrustedTime.java,14,3,1,2
core/java/android/net/SntpClient.java,,4,,
core/java/android/util/SeempLog.java,4,,,129
core/java/android/hardware/Sensor.java,,15,,
core/java/android/view/WindowManager.java,4,27,2,6
core/java/android/net/Uri.java,,8,,
core/java/android/view/BatchedInputEventReceiver.java,1,,,
core/java/android/view/InputEventReceiver.java,2,4,,
core/java/android/view/contentcapture/MainContentCaptureSession.java,1,1,,2
core/java/android/view/DisplayCutout.java,27,11,3,5
core/java/android/content/res/TypedArray.java,,58,,
graphics/java/android/graphics/Insets.java,,18,,
core/java/android/view/Choreographer.java,,3,6,
core/java/android/view/InsetsController.java,21,2,7,1
core/java/android/view/InsetsState.java,,43,,
core/java/android/view/WindowInsets.java,,24,,
core/java/android/view/InsetsSource.java,,32,,
core/java/android/view/InsetsAnimationControlRunner.java,,2,,
core/java/android/view/InsetsResizeAnimationRunner.java,40,,,
core/java/android/view/WindowInsetsAnimationControlListener.java,,1,,
core/java/android/view/WindowInsetsAnimation.java,,5,,
core/java/android/view/InsetsAnimationControlCallbacks.java,,4,,
core/java/android/animation/ValueAnimator.java,,50,,
core/java/android/animation/Animator.java,,17,,
core/java/android/util/proto/ProtoOutputStream.java,,30,,
core/java/android/view/InsetsSourceControl.java,1,,,
core/java/android/view/InsetsVisibilities.java,3,,,28
core/java/android/view/InternalInsetsAnimationController.java,1,,,4
core/java/android/view/WindowInsetsAnimationController.java,,1,,
core/java/android/view/RoundedCorners.java,35,1,3,12
core/java/android/view/Surface.java,3,4,,
core/java/android/view/SurfaceControlViewHost.java,3,16,,
core/java/android/view/WindowlessWindowManager.java,,8,,
core/java/android/view/SurfaceView.java,9,3,1,2
core/java/android/view/TaskTransitionSpec.java,1,,,
core/java/android/view/accessibility/AccessibilityManager.java,,7,,
core/java/android/view/accessibility/AccessibilityEvent.java,,3,,
core/java/com/android/internal/policy/TransitionAnimation.java,55,10,5,8
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardService.java,33,1,1,1
services/core/java/com/android/server/wm/Transition.java,78,31,25,14
core/java/android/window/WindowProvider.java,1,1,,2
core/java/android/os/StrictMode.java,,1,,
core/java/android/widget/AbsListView.java,6,3,11,11
core/java/android/widget/EdgeEffect.java,,2,,
core/java/android/widget/RemoteViews.java,10,8,27,26
core/java/android/util/Pair.java,,2,,
core/java/android/window/ConfigurationHelper.java,12,,,6
core/java/android/app/ResourcesManager.java,,6,,
core/java/android/content/res/Configuration.java,,72,,
graphics/java/android/graphics/Canvas.java,,46,,
core/java/android/window/SizeConfigurationBuckets.java,3,16,3,3
core/java/android/window/PictureInPictureSurfaceTransaction.java,1,,1,2
graphics/java/android/graphics/Matrix.java,,17,,
core/java/android/window/RemoteTransition.java,5,1,,24
core/java/com/android/internal/jank/InteractionJankMonitor.java,9,14,4,13
core/java/android/window/StartingWindowRemovalInfo.java,1,,,
core/java/android/window/WindowContainerToken.java,,11,,
core/java/android/window/TaskFragmentOrganizer.java,9,,,
core/java/android/window/WindowOrganizer.java,5,23,,1
core/java/android/window/TaskFragmentOrganizerToken.java,1,,,
core/java/android/window/TransitionFilter.java,1,9,3,3
core/java/android/window/TransitionInfo.java,7,149,,24
core/java/android/window/TransitionMetrics.java,2,,,3
core/java/android/os/SystemClock.java,,15,,
core/java/android/window/WindowContainerTransaction.java,10,82,30,48
core/java/android/window/WindowTokenClient.java,20,3,,5
core/java/android/window/WindowContextController.java,,1,3,
core/java/android/window/WindowContext.java,,2,1,
core/java/android/os/Debug.java,,2,,
core/java/com/android/internal/accessibility/dialog/AccessibilityShortcutChooserActivity.java,3,,,
core/java/com/android/internal/accessibility/dialog/ShortcutTargetAdapter.java,,1,,
core/java/com/android/internal/accessibility/util/AccessibilityStatsLogUtils.java,1,,1,1
core/java/android/provider/Settings.java,,45,4,
core/java/com/android/internal/app/ActivityTrigger.java,5,,,
core/java/com/android/internal/app/LocalePickerWithRegion.java,3,,,
core/java/android/app/ListFragment.java,,2,,
core/java/com/android/internal/jank/FrameTracker.java,1,17,9,6
core/java/android/os/HandlerThread.java,,6,,
libs/WindowManager/Shell/src/com/android/wm/shell/draganddrop/DragAndDropEventLogger.java,15,5,,3
core/java/com/android/internal/logging/UiEvent.java,5,5,,
core/java/com/android/internal/os/AmbientDisplayPowerCalculator.java,2,,4,2
core/java/com/android/internal/os/PowerCalculator.java,,1,,
core/java/com/android/internal/os/UsageBasedPowerEstimator.java,,1,,
core/java/com/android/internal/os/BatteryStatsImpl.java,13,158,5,12
core/java/com/android/internal/os/PowerProfile.java,4,1,1,10
core/java/com/android/internal/policy/SystemBarUtils.java,17,,,23
core/java/android/view/Display.java,,35,,
core/java/android/util/RotationUtils.java,,8,,
core/java/android/view/animation/Animation.java,,49,,
core/java/android/view/animation/AnimationSet.java,,16,,
graphics/java/android/graphics/Picture.java,,2,,
graphics/java/android/graphics/Color.java,,36,,
graphics/java/android/graphics/drawable/Drawable.java,,14,,
graphics/java/android/graphics/Bitmap.java,,3,,
core/java/com/android/internal/util/DataClass.java,2,2,,
core/java/com/android/internal/util/LatencyTracker.java,15,6,4,4
core/java/android/os/Trace.java,,11,,
core/java/com/android/internal/view/WebViewCaptureHelper.java,28,,,
core/java/android/webkit/WebView.java,,4,,
core/java/com/android/internal/view/ScrollCaptureViewHelper.java,,1,,
core/java/android/util/MathUtils.java,,5,,
core/java/com/android/internal/widget/LockPatternUtils.java,2,4,,2
core/java/com/android/internal/widget/PointerLocationView.java,64,38,1,1
core/java/android/view/ViewConfiguration.java,,2,,
core/tests/coretests/src/android/accessibilityservice/AccessibilityServiceTest.java,10,,,
media/java/android/media/ImageReader.java,,6,,
core/java/android/hardware/display/VirtualDisplay.java,,6,,
core/tests/coretests/src/android/app/NotificationTest.java,7,,,
core/java/android/app/Notification.java,,51,,
core/tests/coretests/src/android/view/InsetsControllerTest.java,2,,1,
core/tests/coretests/src/android/view/InsetsVisibilitiesTest.java,1,,,
core/tests/coretests/src/android/view/MotionEventTest.java,10,,,
core/java/android/view/MotionEvent.java,,31,,
test-base/src/junit/framework/Assert.java,,238,,
core/java/android/view/InputEvent.java,,1,,
core/tests/coretests/src/android/window/CustomDrawable.java,1,,,
graphics/java/android/graphics/drawable/InsetDrawable.java,,1,,
core/tests/coretests/src/android/window/WindowContextTest.java,2,,,
core/tests/coretests/src/com/android/internal/jank/FrameTrackerTest.java,26,13,10,10
core/tests/coretests/src/com/android/internal/jank/InteractionJankMonitorTest.java,7,,4,4
core/tests/coretests/src/com/android/internal/os/AmbientDisplayPowerCalculatorTest.java,31,,2,
core/tests/coretests/src/com/android/internal/os/BatteryUsageStatsRule.java,,26,,5
core/java/android/os/BatteryConsumer.java,,30,,
core/tests/coretests/src/com/android/internal/os/BatteryStatsNoteTest.java,272,3,14,
core/tests/coretests/src/com/android/internal/os/MockBatteryStatsImpl.java,,27,,6
core/tests/coretests/src/com/android/internal/os/ScreenPowerCalculatorTest.java,74,8,3,
core/tests/devicestatetests/src/android/hardware/devicestate/DeviceStateManagerGlobalTest.java,5,,,
core/java/android/hardware/devicestate/DeviceStateRequest.java,,3,,
core/java/android/hardware/devicestate/DeviceStateManagerGlobal.java,,2,,
core/tests/mockingcoretests/src/android/window/ConfigurationHelperTest.java,10,1,,
core/tests/mockingcoretests/src/android/window/SizeConfigurationBucketsTest.java,16,1,,
errorprone/tests/res/android/annotation/RequiresPermission.java,61,61,,
media/java/android/media/Spatializer.java,70,19,,
errorprone/tests/res/android/annotation/SuppressLint.java,2,2,,
telephony/java/android/telephony/ims/stub/ImsUtImplBase.java,1,1,,
keystore/tests/src/android/security/keystore2/AndroidKeyStoreSpiTest.java,44,,,
keystore/java/android/security/keystore2/AndroidKeyStorePublicKey.java,,28,,
keystore/java/android/security/keystore2/AndroidKeyStoreKey.java,,16,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/JetpackTaskFragmentOrganizer.java,4,,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/SplitContainer.java,1,,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/SplitController.java,27,,,
core/java/android/app/Instrumentation.java,,7,12,6
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/SplitPresenter.java,20,,,
core/java/android/view/ContextThemeWrapper.java,,2,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/TaskFragmentAnimationAdapter.java,45,,,
core/java/android/view/animation/Transformation.java,,16,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/TaskFragmentAnimationRunner.java,19,,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/TaskFragmentAnimationController.java,9,,,
core/java/android/view/RemoteAnimationDefinition.java,,12,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/TaskFragmentAnimationSpec.java,78,,,
core/java/com/android/internal/policy/AttributeCache.java,,1,,
core/java/android/view/animation/AnimationUtils.java,,9,,
errorprone/tests/res/android/database/ContentObserver.java,,5,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/embedding/TaskFragmentContainer.java,14,,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/WindowExtensionsImpl.java,1,,,
libs/WindowManager/Jetpack/src/androidx/window/extensions/layout/WindowLayoutComponentImpl.java,5,1,3,3
libs/WindowManager/Jetpack/src/androidx/window/common/SettingsDevicePostureProducer.java,,2,,
libs/WindowManager/Jetpack/src/androidx/window/common/SettingsDisplayFeatureProducer.java,,2,,
libs/WindowManager/Jetpack/src/androidx/window/sidecar/SampleSidecarImpl.java,4,,1,1
libs/WindowManager/Jetpack/src/androidx/window/common/DisplayFeature.java,,3,,
libs/WindowManager/Shell/src/com/android/wm/shell/apppairs/AppPair.java,13,,2,
libs/WindowManager/Shell/src/com/android/wm/shell/common/SyncTransactionQueue.java,4,30,4,
libs/WindowManager/Shell/src/com/android/wm/shell/common/split/SplitLayout.java,93,53,15,20
libs/WindowManager/Shell/src/com/android/wm/shell/apppairs/AppPairsController.java,,1,,1
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubbleExpandedView.java,2,1,5,1
core/java/android/view/ViewGroup.java,,21,,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubblePositioner.java,31,19,2,22
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubbleViewProvider.java,,3,,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/Bubble.java,,3,,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubbleStackView.java,30,14,24,21
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubbleData.java,,41,,
core/java/android/view/ViewPropertyAnimator.java,,14,,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/animation/ExpandedAnimationController.java,,3,9,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/animation/StackAnimationController.java,,2,2,
core/java/android/animation/ObjectAnimator.java,,11,,
core/java/android/animation/AnimatorSet.java,,9,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/DisplayInsetsController.java,5,1,5,12
libs/WindowManager/Shell/src/com/android/wm/shell/common/annotations/ShellMainThread.java,1,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/CompatUI.java,1,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/annotations/ExternalThread.java,7,7,,
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/CompatUIController.java,9,16,9,8
libs/WindowManager/Shell/src/com/android/wm/shell/draganddrop/DragAndDrop.java,1,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/recents/RecentTasks.java,1,1,,1
libs/WindowManager/Shell/src/com/android/wm/shell/recents/RecentTasksController.java,18,1,,3
libs/WindowManager/Shell/src/com/android/wm/shell/stagesplit/SplitScreen.java,1,1,1,1
libs/WindowManager/Shell/src/com/android/wm/shell/stagesplit/SplitScreenController.java,44,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/DisplayController.java,1,6,2,3
libs/WindowManager/Shell/src/com/android/wm/shell/common/DisplayLayout.java,1,3,1,
libs/WindowManager/Shell/src/com/android/wm/shell/common/SingleInstanceRemoteListener.java,5,,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/ShellExecutor.java,,23,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/RemoteCallable.java,,3,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/split/DividerRoundedCorner.java,38,,,
graphics/java/android/graphics/Paint.java,,9,,
core/java/android/view/RoundedCorner.java,,7,,
graphics/java/android/graphics/Path.java,,11,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/split/DividerView.java,27,,1,1
libs/WindowManager/Shell/src/com/android/wm/shell/common/split/SplitWindowManager.java,,1,1,1
core/java/android/widget/FrameLayout.java,,4,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/split/SplitDecorManager.java,44,,,3
core/java/android/view/LayoutInflater.java,,14,,
core/java/android/widget/ImageView.java,,20,,
core/java/com/android/internal/policy/DividerSnapAlgorithm.java,,9,,
core/java/android/view/animation/PathInterpolator.java,,2,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/SurfaceUtils.java,5,1,1,1
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/CompatUIWindowManager.java,38,8,2,10
libs/WindowManager/Shell/src/com/android/wm/shell/compatui/CompatUILayout.java,15,,,1
core/java/android/widget/LinearLayout.java,,7,,
core/java/android/widget/TextView.java,,12,,
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/WMShellBaseModule.java,15,14,,
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/WMShellConcurrencyModule.java,1,,1,1
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/WMShellModule.java,9,7,,
libs/WindowManager/Shell/src/com/android/wm/shell/bubbles/BubbleController.java,,38,2,1
libs/WindowManager/Shell/src/com/android/wm/shell/onehanded/OneHandedController.java,5,2,,
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/TvPipModule.java,1,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/WMSingleton.java,27,27,,
libs/WindowManager/Shell/src/com/android/wm/shell/dagger/TvWMShellModule.java,1,1,,1
packages/SystemUI/src/com/android/systemui/dagger/WMComponent.java,4,4,,4
core/java/android/content/ClipDescription.java,,3,,
core/java/android/view/DragEvent.java,,7,,
core/java/android/content/ClipData.java,,4,,
core/java/com/android/internal/logging/InstanceIdSequence.java,,3,,
core/java/com/android/internal/logging/UiEventLogger.java,,3,,
libs/WindowManager/Shell/src/com/android/wm/shell/draganddrop/DragLayout.java,23,,21,11
core/java/android/app/StatusBarManager.java,,1,,
libs/WindowManager/Shell/src/com/android/wm/shell/draganddrop/DropZoneView.java,66,,,8
graphics/java/android/graphics/drawable/ColorDrawable.java,,14,,
core/java/com/android/internal/policy/ScreenDecorationsUtils.java,,5,6,
libs/WindowManager/Shell/src/com/android/wm/shell/freeform/FreeformTaskListener.java,21,,,
libs/WindowManager/Shell/src/com/android/wm/shell/ShellTaskOrganizer.java,3,20,5,4
core/java/com/android/internal/protolog/common/ProtoLog.java,,82,,
