file,e2n_e,e2n_n,n2e_n,n2e_e
packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java,9,,3,2
telephony/java/android/telephony/SubscriptionManager.java,,4,,
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,1,1,,
core/java/android/util/SparseIntArray.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java,7,,3,3
core/java/android/view/ViewTreeObserver.java,,2,,
core/java/android/view/View.java,,10,4,
packages/SystemUI/src/com/android/systemui/statusbar/phone/DozeServiceHost.java,64,2,,26
packages/SystemUI/src/com/android/systemui/doze/DozeLog.java,,3,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/statusbar/StatusBarStateController.java,,3,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,,7,16,
packages/SystemUI/src/com/android/systemui/doze/DozeHost.java,,4,,
packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconAreaController.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationShadeWindowViewController.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryController.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,,2,,
packages/SystemUI/src/com/android/systemui/doze/DozeReceiver.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/DeviceProvisionedController.java,,2,,
core/java/android/os/PowerManager.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java,,5,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/DozeScrimController.java,,5,,
packages/SystemUI/src/com/android/systemui/statusbar/SysuiStatusBarStateController.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/notification/VisualStabilityManager.java,,1,,
core/java/android/view/MotionEvent.java,,4,,
packages/SystemUI/src/com/android/systemui/statusbar/AlertingNotificationManager.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/HeadsUpManagerPhone.java,,1,,
packages/SystemUI/src/com/android/systemui/keyguard/WakefulnessLifecycle.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationShadeWindowController.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,8,,1,1
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconController.java,,4,,
core/java/com/google/android/collect/Lists.java,,1,,
packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitorCallback.java,,1,,2
packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotController.java,1,1,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,43,4,17,17
telephony/java/android/telephony/TelephonyDisplayInfo.java,,5,,
telephony/java/android/telephony/SignalStrength.java,,2,,
core/java/android/telephony/PhoneStateListener.java,,1,,
telephony/java/android/telephony/ims/feature/MmTelFeature.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/StatusBarMobileView.java,2,,2,2
packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/FiveGServiceClientTest.java,8,2,,
test-base/src/junit/framework/Assert.java,,3,,
packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java,,1,,
tests/testables/src/android/testing/AndroidTestingRunner.java,,1,,
services/core/java/com/android/server/ActivityTriggerService.java,7,,,5
