name,whitelist_Call,whitelist_Aggregate,whitelist_UseVar,whitelist_Define,whitelist_Typed,whitelist_Set,whitelist_Modify,whitelist_Annotate,whitelist_Parameter,whitelist_Reflect,whitelist_Override,whitelist_Inherit,whitelist_Implement,whitelist_Cast,whitelist_Call non-dynamic,AGG_SUM,TYPED_SUM
com.android.internal.BrightnessSynchronizer.floatEquals,,,,,,,,,,,,,,,,0,0
android.util.Slog.d,,,,,,,,,,,,,,,,0,0
android.telephony.TelephonyManager,,,,,,,,,,,,,,,,0,0
com.android.internal.util.ScreenshotHelper.takeScreenshot,,,,,,,,,,,,,,,,0,0
android.app.ActivityThread.getSystemUiContext,,,,,,,,,,,,,,,,0,0
android.app.ActivityThread.currentActivityThread,,,,,,,,,,,,,,,,0,0
android.net.wifi.WifiManager.mService,,,,,,,,,,,,,,,,0,0
android.net.wifi.WifiManager.TAG,,,,,,,,,,,,,,,,0,0
android.os.Binder,,,,,,,,,,,,,,,,0,0
android.os.Looper,,,,,,,,,,,,,,,,0,0
android.net.wifi.WifiManager.mContext,,,,,,,,,,,,,,,,0,0
