file,e2n_e,e2n_n,n2e_n,n2e_e
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarInflaterView.java,19,2,3,3
packages/SystemUI/src/com/android/systemui/tuner/TunerService.java,,21,,2
packages/SystemUI/src/com/android/systemui/Dependency.java,,10,,
core/java/android/app/ActivityManager.java,,1,,
core/java/android/content/res/Configuration.java,,1,,
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,4,1,6,6
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/ContextualButton.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,2,,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,12,5,3,2
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconController.java,,3,,
packages/SystemUI/src/com/android/systemui/qs/tiles/AmbientDisplayTile.java,21,,,
packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSTileImpl.java,,98,,
packages/SystemUI/src/com/android/systemui/qs/SecureSetting.java,,12,,
packages/SystemUI/src/com/android/systemui/qs/tiles/AODTile.java,21,,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryController.java,,7,,
packages/SystemUI/src/com/android/systemui/qs/tiles/CaffeineTile.java,35,,,
core/java/android/os/CountDownTimer.java,,2,,
errorprone/tests/res/android/content/BroadcastReceiver.java,,1,,
core/java/android/content/IntentFilter.java,,4,,
packages/SystemUI/src/com/android/systemui/qs/tiles/HeadsUpTile.java,11,,,
packages/SystemUI/src/com/android/systemui/qs/GlobalSetting.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/tiles/PowerShareTile.java,24,,,
core/java/android/app/NotificationManager.java,,4,,
core/java/android/app/Notification.java,,4,,
core/java/android/os/BatteryManager.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/tiles/ProfilesTile.java,42,,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardDismissUtil.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/KeyguardStateController.java,,6,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/ActivityStarter.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/SystemUIDialog.java,,5,,
core/java/android/widget/CheckedTextView.java,,1,,
core/java/android/view/Window.java,,3,,
core/java/android/app/AlertDialog.java,,5,,
core/java/android/widget/Switch.java,,1,,
core/java/android/widget/CompoundButton.java,,1,,
errorprone/tests/res/android/database/ContentObserver.java,,6,,
packages/SystemUI/src/com/android/systemui/qs/tiles/ReadingModeTile.java,10,,,
packages/SystemUI/src/com/android/systemui/qs/tiles/SyncTile.java,13,,,
packages/SystemUI/src/com/android/systemui/qs/tiles/UsbTetherTile.java,9,,,
packages/SystemUI/src/com/android/systemui/qs/tiles/VpnTile.java,46,,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/SecurityController.java,,7,,
core/java/com/android/internal/net/VpnConfig.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/QSHost.java,,2,,
core/java/android/text/TextWatcher.java,,1,,
core/java/android/widget/EditText.java,,2,,
packages/SystemUI/src/com/android/systemui/screenshot/LongScreenshotActivity.java,2,1,3,1
packages/SystemUI/src/com/android/systemui/screenshot/CropView.java,,2,5,5
packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java,22,3,4,4
core/java/android/app/ActivityTaskManager.java,,1,,
core/java/android/content/pm/PackageItemInfo.java,,1,,
packages/SystemUI/src/com/android/systemui/screenshot/LongScreenshotData.java,,2,,2
packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java,,1,,
core/java/android/content/ContextWrapper.java,,1,,
core/java/android/app/ActivityOptions.java,,2,,
core/java/android/os/Vibrator.java,,2,,
core/java/android/os/VibrationEffect.java,,1,,
media/java/android/media/MediaActionSound.java,,1,,
packages/SystemUI/src/com/android/systemui/screenshot/ScrollCaptureController.java,14,12,,
packages/SystemUI/src/com/android/systemui/settings/brightness/BrightnessController.java,1,,3,2
packages/SystemUI/src/com/android/systemui/statusbar/LineageStatusBarItemHolder.java,10,,,
core/java/android/widget/RelativeLayout.java,,1,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/DarkIconDispatcher.java,,9,,
packages/SystemUI/src/com/android/systemui/statusbar/NotificationMediaManager.java,2,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/ClockController.java,18,,,10
packages/SystemUI/src/com/android/systemui/statusbar/phone/dagger/StatusBarComponent.java,2,2,,1
packages/SystemUI/src/com/android/systemui/statusbar/phone/dagger/StatusBarViewModule.java,1,,,
