file,e2n_e,e2n_n,n2e_n,n2e_e
core/java/android/content/ContextWrapper.java,,1,,
core/java/android/os/AsyncTask.java,,1,,
services/core/java/com/android/server/audio/AudioService.java,16,,5,3
services/core/java/com/android/server/BluetoothManagerService.java,22,9,13,13
core/java/android/os/UserHandle.java,,1,,
core/java/android/os/SystemClock.java,,3,,
services/core/java/com/android/server/ConnectivityService.java,13,4,9,7
core/java/android/net/NetworkCapabilities.java,,5,,
core/java/android/net/StringNetworkSpecifier.java,,1,,
services/core/java/com/android/server/display/DisplayManagerService.java,1,1,1,
services/core/java/com/android/server/display/ExtendedRemoteDisplayHelper.java,15,,,4
media/java/android/media/RemoteDisplay.java,,1,,
services/core/java/com/android/server/display/WifiDisplayController.java,42,8,14,10
wifi/java/android/net/wifi/p2p/WifiP2pManager.java,8,7,,
core/java/android/net/NetworkInfo.java,,1,,
wifi/java/android/net/wifi/p2p/WifiP2pGroup.java,,1,,
services/core/java/com/android/server/LocationManagerService.java,15,3,1,1
services/core/java/com/android/server/location/LocationProviderProxy.java,,2,,
location/java/android/location/Location.java,,3,,
core/java/android/os/BaseBundle.java,,2,,
services/core/java/com/android/server/locksettings/LockSettingsService.java,9,1,2,2
core/java/android/os/UserManager.java,,1,,
services/core/java/com/android/server/NetPluginDelegate.java,14,,,2
core/java/android/net/NetworkSpecifier.java,,1,,
services/core/java/com/android/server/os/RegionalizationService.java,5,,,
core/java/android/content/pm/ResolveInfo.java,,2,,
services/core/java/com/android/server/policy/PhoneWindowManager.java,16,2,1,
core/java/android/os/UEventObserver.java,,2,,
core/java/android/app/ActivityManager.java,,1,,
services/core/java/com/android/server/policy/SystemGesturesPointerEventListener.java,1,,2,2
core/java/android/view/GestureDetector.java,,1,,
services/core/java/com/android/server/StorageManagerService.java,4,3,,
services/core/java/com/android/server/Watchdog.java,4,,3,3
services/core/java/com/android/server/WiredAccessoryManager.java,9,,3,3
services/net/java/android/net/dhcp/DhcpClient.java,21,11,,
services/net/java/android/net/dhcp/DhcpPacket.java,1,4,5,45
core/java/com/android/internal/util/StateMachine.java,,3,,
services/tests/servicestests/src/com/android/server/accounts/AccountsDbTest.java,8,,,
core/java/android/database/sqlite/SQLiteProgram.java,,6,,
core/java/android/database/sqlite/SQLiteStatement.java,,1,,
telecomm/java/android/telecom/ConnectionService.java,8,4,1,1
core/java/com/android/internal/os/SomeArgs.java,,1,,
core/java/android/os/Message.java,,1,,
telecomm/java/android/telecom/Log.java,,2,,
telecomm/java/android/telecom/ConnectionServiceAdapter.java,1,,,
telephony/java/android/provider/Telephony.java,11,,4,
telephony/java/android/telephony/Rlog.java,,18,,
core/java/android/content/ContentValues.java,,9,,
core/java/android/content/ContentResolver.java,,1,3,
telephony/java/android/telephony/ims/ImsExternalCallState.java,1,,,
telephony/java/android/telephony/PhoneNumberUtils.java,5,1,1,1
location/java/android/location/CountryDetector.java,,2,,
location/java/android/location/Country.java,,1,,
telephony/java/android/telephony/SmsManager.java,2,2,7,
telephony/java/com/android/ims/internal/uce/uceservice/UceServiceBase.java,4,4,,
telephony/java/com/android/internal/telephony/cdma/BearerData.java,6,1,1,1
core/java/com/android/internal/util/BitwiseOutputStream.java,,4,,
core/java/android/util/SparseIntArray.java,,1,,
telephony/java/com/android/internal/telephony/cdma/SmsMessage.java,28,2,,
telephony/java/com/android/internal/telephony/cdma/CdmaSmsAddress.java,,1,,
core/java/com/android/internal/util/HexDump.java,,1,,
telephony/java/com/android/internal/telephony/SmsMessageBase.java,1,1,,
core/java/com/android/internal/util/BitwiseInputStream.java,,12,,
telephony/java/com/android/internal/telephony/gsm/SmsMessage.java,14,5,,
telephony/java/com/android/internal/telephony/SmsHeader.java,,3,,
telephony/java/com/android/internal/telephony/GsmAlphabet.java,,3,,
telephony/java/com/android/internal/telephony/SmsAuthorizationRequest.java,11,,,
telephony/java/com/android/internal/telephony/SmsAddress.java,,1,,
telephony/java/com/android/internal/telephony/uicc/IccUtils.java,2,,,
test-base/src/android/test/suitebuilder/annotation/SmallTest.java,1,1,,
tests/testables/src/android/testing/TestableLooper.java,1,1,,
core/java/android/os/RemoteException.java,,17,,
core/java/com/android/internal/util/AsyncChannel.java,,2,,
wifi/java/android/net/wifi/p2p/WifiWscVendorInfo.java,13,,,
wifi/java/android/net/wifi/WifiDppConfig.java,57,,,
wifi/java/android/net/wifi/WifiEnterpriseConfig.java,2,2,,
wifi/java/android/net/wifi/WifiManager.java,20,,1,
core/java/android/accounts/AccountManager.java,,,26,
core/java/android/content/pm/ApplicationInfo.java,,,,3
core/java/android/app/Instrumentation.java,,,7,
core/java/android/bluetooth/le/AdvertiseData.java,,,1,1
core/java/android/content/res/CompatibilityInfo.java,,,2,
core/java/android/hardware/camera2/impl/CameraCaptureSessionImpl.java,,,1,
core/java/android/hardware/SystemSensorManager.java,,,2,
core/java/android/provider/Browser.java,,,6,
core/java/android/provider/CalendarContract.java,,,8,
core/java/android/provider/ContactsContract.java,,,7,
core/java/android/speech/SpeechRecognizer.java,,,1,
core/java/android/view/ViewRootImpl.java,,,1,
core/java/android/view/WindowManagerImpl.java,,,2,
core/java/android/webkit/WebChromeClient.java,,,1,
core/java/android/widget/OverScroller.java,,,3,
core/java/android/widget/Scroller.java,,,1,
location/java/android/location/LocationManager.java,,,17,
media/java/android/media/AudioRecord.java,,,2,
packages/SystemUI/src/com/android/keyguard/KeyguardAbsKeyInputView.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardPatternView.java,,,1,
packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java,,,3,
packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java,,,5,
services/core/java/com/android/server/accounts/AccountManagerService.java,,,11,
services/core/java/com/android/server/am/ActivityRecord.java,,,2,3
services/core/java/com/android/server/am/ActivityStack.java,,,13,
services/core/java/com/android/server/am/ActivityStarter.java,,,2,
services/core/java/com/android/server/am/ProcessRecord.java,,,4,
services/core/java/com/android/server/am/RecentTasks.java,,,1,
services/core/java/com/android/server/display/DisplayDevice.java,,,,1
services/core/java/com/android/server/NetworkTimeUpdateService.java,,,1,
services/core/java/com/android/server/pm/PackageInstallerService.java,,,1,
services/core/java/com/android/server/pm/PackageVerificationState.java,,,,1
services/core/java/com/android/server/wm/ScreenRotationAnimation.java,,,5,
services/core/java/com/android/server/wm/TaskTapPointerEventListener.java,,,2,
services/core/java/com/android/server/wm/WindowManagerService.java,,,5,3
services/java/com/android/server/SystemServer.java,,,1,
services/net/java/android/net/dhcp/DhcpAckPacket.java,,,9,
services/net/java/android/net/dhcp/DhcpDeclinePacket.java,,,2,
services/net/java/android/net/dhcp/DhcpDiscoverPacket.java,,,4,
services/net/java/android/net/dhcp/DhcpInformPacket.java,,,3,
services/net/java/android/net/dhcp/DhcpNakPacket.java,,,3,
services/net/java/android/net/dhcp/DhcpOfferPacket.java,,,9,
services/net/java/android/net/dhcp/DhcpRequestPacket.java,,,5,
telephony/java/android/telephony/ims/ImsSsInfo.java,,,1,1
telephony/java/com/android/internal/telephony/CallerInfo.java,,,2,
tests/net/java/android/net/dhcp/DhcpPacketTest.java,,,5,
wifi/java/android/net/wifi/p2p/WifiP2pDevice.java,,,1,
wifi/java/android/net/wifi/p2p/WifiP2pWfdInfo.java,,,,1
